Likes,Dislikes,Subscribers
235,5,464000
8446,64,1800000
1810,34,360000
3817,94,2600000
18138,8060,1800000
1665,31,1500000
1889,43,1500000
1654,40,1500000
2325,53,1500000
2490,34,1500000
1244,24,1500000
2430,52,1500000
1781,40,1500000
1946,35,1500000
4235,124,1500000
1364,75,79000
2325,53,1500000
4927,144,1500000
2490,34,1500000
2430,52,1500000
4235,124,1500000
5284,101,1500000
2871,54,1500000
1781,40,1500000
13134,96,977000
3064,37,1500000
143451,10104,2100000
7339,488,1500000
13026,1207,678000
1885,39,1500000
5342,162,1500000
1639,31,1500000
3587,78,1500000
84368,1818,1500000
62750,1383,267000
848487,29652,31000000
68646,1299,267000
277900,12009,216000
2361,48,9800000
1035,45,2100000
4,1,98000
2,1,98000
1,0,98000
6,0,98000
2,0,98000
1,0,98000
45462,663,267000
3945,613,5500
42021,545,267000
4414,164,31000000
14473,233,267000
734,761,11000
241759,4528,27000
6252,378,508000
59429,2079,267000
129413,5483,737000
1292136,66787,713000
11575,132,11000000
25508,383,181000
1016634,42498,6500000
64688,3707,433000
444948,36252,1800000
11345,589,114000
119058,4344,1400000
2434,122,114000
16900,914,213000
601599,23904,345000
128,6,615000
86529,2067,508000
446,32,615000
56213,3373,615000
45994,2682,115000
37110,2504,28000
8755,1665,189000
6391,112,766000
1642,12,45000
15,5,2600
32,6,2600
407,82,7400
195,47,86000
7,0,2600
495,69,1600
155,11,5400000
6605,236,460000
627,32,577000
241655,9529,19000000
206,35,3500
10,2,453
3381,491,2700
4920,88,838000
420,161,74000
183,23,7400
104683,7132,10000000
119254,8602,10000000
